iter	RMSE
0	107.4488607
1	105.8329663
2	104.3612156
3	102.9440529
4	101.2599495
5	99.95935272
6	98.73403428
7	97.51600505
8	96.27660958
9	95.01790519
10	93.94424204
11	92.90800728
12	91.97014247
13	91.05158944
14	90.0917699
15	89.23468071
16	88.28120558
17	87.43274884
18	86.71169345
19	86.01117039
20	85.29444858
21	84.5539246
22	83.91682783
23	83.34108931
24	82.722564
25	82.09785395
26	81.53102497
27	80.99167261
28	80.38443591
29	79.87334152
30	79.47156655
31	79.00185998
32	78.47010942
33	77.99963768
34	77.56054409
35	76.98194908
36	76.49056817
37	76.12095446
38	75.61677409
39	75.27316577
40	74.81902467
41	74.47431284
42	74.14155585
43	73.81971165
44	73.50573937
45	73.0220123
46	72.69191667
47	72.37174309
48	71.98868693
49	71.77189023
50	71.37666018
51	71.12525083
52	70.83136562
53	70.60387813
54	70.35461869
55	70.04625107
56	69.80155125
57	69.49479349
58	69.25100301
59	69.06240096
60	68.8259045
61	68.59343552
62	68.36069367
63	68.10819176
64	67.91428004
65	67.73477892
66	67.61297674
67	67.48922195
68	67.22242011
69	67.02508169
70	66.85771748
71	66.58123551
72	66.43171489
73	66.28277993
74	66.09672981
75	65.91358852
76	65.85104769
77	65.61870851
78	65.48510792
79	65.32838816
80	65.22887044
81	65.10753703
82	64.99337481
83	64.7459722
84	64.59034375
85	64.39553489
86	64.266334
87	64.07644749
88	63.87313576
89	63.67581447
90	63.57445283
91	63.3900717
92	63.28013521
93	63.09614696
94	62.99422427
95	62.89010469
96	62.78959274
97	62.6404895
98	62.55441517
99	62.39989043
100	62.29759213
101	62.07924178
102	61.99174166
103	61.91577345
104	61.81410181
105	61.69765773
106	61.57441941
107	61.53338891
108	61.41972492
109	61.30943419
110	61.22110229
111	61.08655262
112	60.98786901
113	60.87640084
114	60.7395954
115	60.59198055
116	60.45009023
117	60.39507234
118	60.29949941
119	60.22962378
120	60.19043638
121	60.08003445
122	59.96483754
123	59.85703657
124	59.72835874
125	59.63080712
126	59.54586203
127	59.43821397
128	59.34357128
129	59.2402639
130	59.14345614
131	59.08150003
132	58.98680374
133	58.88136194
134	58.81907384
135	58.77034159
136	58.67389529
137	58.54175454
138	58.44285167
139	58.32174878
140	58.18997195
141	58.05872561
142	57.97062522
143	57.89497107
144	57.75471469
145	57.60726594
146	57.49453263
147	57.38829273
148	57.26706044
149	57.17781265
150	57.07675961
151	56.95975619
152	56.86002564
153	56.81412797
154	56.74967021
155	56.66513662
156	56.59084037
157	56.56869288
158	56.51423161
159	56.45002949
160	56.33690337
161	56.26537347
162	56.15959504
163	56.04874752
164	55.9739003
165	55.86657963
166	55.82402342
167	55.73759
168	55.63252739
169	55.5900267
170	55.52328979
171	55.5005021
172	55.42832065
173	55.37790377
174	55.27908674
175	55.20523194
176	55.14203925
177	55.08511658
178	55.05702798
179	54.94766594
180	54.89569344
181	54.80557506
182	54.76734066
183	54.73309798
184	54.64146639
185	54.54502633
186	54.51097413
187	54.44192878
188	54.35916949
189	54.33910707
190	54.26141266
191	54.20056401
192	54.1146526
193	54.03821358
194	53.92383848
195	53.87133911
196	53.77793645
197	53.71711431
198	53.67531946
199	53.62561953
200	53.59784554
201	53.55604607
202	53.51121094
203	53.48971599
204	53.44999052
205	53.39230945
206	53.35482274
207	53.28906505
208	53.24754174
209	53.19233135
210	53.15509701
211	53.05698174
212	52.97557123
213	52.91205545
214	52.84338796
215	52.83046844
216	52.79305929
217	52.73610116
218	52.71393143
219	52.67006871
220	52.64016916
221	52.59347048
222	52.55455713
223	52.49378157
224	52.46352596
225	52.41196935
226	52.36194208
227	52.3166966
228	52.29909408
229	52.18962653
230	52.16406317
231	52.12028877
232	52.02270696
233	51.95523929
234	51.92528098
235	51.87324229
236	51.84697884
237	51.81598684
238	51.74396779
239	51.6640485
240	51.64724177
241	51.58023343
242	51.52672118
243	51.40964072
244	51.3410714
245	51.32031602
246	51.28147944
247	51.19456251
248	51.10494744
249	51.03129594
250	50.99312671
251	50.97110131
252	50.90567248
253	50.8755528
254	50.84678206
255	50.73068785
256	50.6954203
257	50.67880597
258	50.57218997
259	50.52703791
260	50.49610585
261	50.47882727
262	50.37525995
263	50.32566862
264	50.28822913
265	50.2457199
266	50.1955198
267	50.16335856
268	50.11424435
269	50.09740295
270	50.07215078
271	50.05688244
272	50.01989301
273	50.01003399
274	49.92637145
275	49.84148797
276	49.75320634
277	49.70299274
278	49.61956078
279	49.60752481
280	49.52941247
281	49.47403577
282	49.36590636
283	49.27774485
284	49.20634575
285	49.17312203
286	49.15441976
287	49.09991739
288	49.09116813
289	49.04700985
290	48.97223767
291	48.89187464
292	48.82519
293	48.7737196
294	48.74527248
295	48.69010918
296	48.63057273
297	48.58729232
298	48.51163299
299	48.44562523
300	48.43139096
301	48.40981232
302	48.34283493
303	48.26514794
304	48.21910437
305	48.16913129
306	48.11148249
307	48.09537678
308	48.03529754
309	47.939224
310	47.84942493
311	47.80809525
312	47.71859396
313	47.63579705
314	47.6235758
315	47.55710285
316	47.50068125
317	47.42958904
318	47.34345423
319	47.31815837
320	47.25183398
321	47.15847435
322	47.07339903
323	47.01246217
324	46.95932829
325	46.91516277
326	46.83341928
327	46.75613122
328	46.67737901
329	46.58767943
330	46.51624691
331	46.41984578
332	46.34776513
333	46.29027162
334	46.21745704
335	46.17474313
336	46.11351786
337	46.06220303
338	45.97629469
339	45.88469093
340	45.8189838
341	45.75770759
342	45.7119964
343	45.68656032
344	45.6229105
345	45.55000028
346	45.52462837
347	45.46280628
348	45.41662684
349	45.34373985
350	45.29051509
351	45.22918793
352	45.14984836
353	45.11345241
354	45.06376043
355	45.01361288
356	44.97749941
357	44.92365354
358	44.87320045
359	44.80342932
360	44.78034907
361	44.75774198
362	44.69891182
363	44.62342427
364	44.58475251
365	44.53207851
366	44.48094523
367	44.43000712
368	44.38267834
369	44.32824852
370	44.28155549
371	44.22585455
372	44.1660951
373	44.13863674
374	44.09656288
375	44.03416303
376	43.97187215
377	43.94273948
378	43.87212403
379	43.80496311
380	43.74443579
381	43.69342213
382	43.63143478
383	43.55661931
384	43.51210074
385	43.46077406
386	43.41408875
387	43.33961766
388	43.26931017
389	43.20274597
390	43.15535234
391	43.08083249
392	43.02272563
393	42.99499798
394	42.92311026
395	42.86480824
396	42.82340574
397	42.77725251
398	42.70221046
399	42.65308165
400	42.64111535
401	42.56447332
402	42.50491384
403	42.44129826
404	42.4059717
405	42.39485838
406	42.35411972
407	42.28092161
408	42.24357899
409	42.20551804
410	42.12964948
411	42.04237491
412	42.02604502
413	42.01156703
414	41.93892113
415	41.87728721
416	41.81936485
417	41.74110855
418	41.71319777
419	41.67143149
420	41.662115
421	41.60370337
422	41.55951529
423	41.51074378
424	41.45659549
425	41.41285386
426	41.3484939
427	41.29706586
428	41.2444819
429	41.17160162
430	41.13703825
431	41.12057352
432	41.0718703
433	41.01037541
434	40.94374207
435	40.90480326
436	40.86233082
437	40.82106345
438	40.77203648
439	40.73171114
440	40.6919454
441	40.64087184
442	40.58715265
443	40.55129553
444	40.4950813
445	40.44586901
446	40.39546421
447	40.34708659
448	40.28797948
449	40.27098959
450	40.21713658
451	40.16113261
452	40.09973772
453	40.05173606
454	39.99291643
455	39.93159047
456	39.87201039
457	39.82322347
458	39.79904914
459	39.74667403
460	39.6949681
461	39.65702916
462	39.60533299
463	39.56452534
464	39.50970799
465	39.44514074
466	39.41222974
467	39.36438037
468	39.30620139
469	39.25697801
470	39.2170766
471	39.18640438
472	39.1343319
473	39.09672593
474	39.05700625
475	39.01214155
476	38.95055504
477	38.91325647
478	38.85316698
479	38.81786771
480	38.79174545
481	38.74787724
482	38.72037244
483	38.71351428
484	38.67917382
485	38.63233486
486	38.5847009
487	38.54340379
488	38.48676298
489	38.429333
490	38.38221848
491	38.31113277
492	38.27150729
493	38.21367889
494	38.15299672
495	38.11898221
496	38.06705662
497	38.03323246
498	38.02495075
499	37.97627831
500	37.929063
501	37.86767553
502	37.82251451
503	37.76963503
504	37.73809258
505	37.7065317
506	37.64924822
507	37.61096428
508	37.55960186
509	37.51182908
510	37.47935857
511	37.44981088
512	37.4091969
513	37.37482753
514	37.32928234
515	37.28053336
516	37.25112
517	37.19510664
518	37.15142848
519	37.10819773
520	37.06650006
521	37.0313094
522	36.98886443
523	36.94801422
524	36.89677115
525	36.85413718
526	36.81726602
527	36.78014918
528	36.72968178
529	36.67423728
530	36.60888525
531	36.57198598
532	36.53218929
533	36.48763908
534	36.47018654
535	36.42475414
536	36.40457644
537	36.36929699
538	36.30598721
539	36.27084765
540	36.20798445
541	36.17765806
542	36.13104544
543	36.09206808
544	36.05201437
545	36.01909956
546	35.96582894
547	35.93284787
548	35.88632071
549	35.85001456
550	35.81812432
551	35.77602334
552	35.732891
553	35.68903907
554	35.63960991
555	35.61373696
556	35.56667548
557	35.53037094
558	35.48787014
559	35.45078705
560	35.39609253
561	35.35499293
562	35.31673743
